"Subject"	"Bin"	"Electrode"	"Condition"	"MeanAmp"	"Race"	"Fix"
1	3	"PZ"	"White_forehead"	9.45453995098039	"White"	"forehead"
1	3	"C3"	"White_forehead"	6.34813970588235	"White"	"forehead"
1	3	"C4"	"White_forehead"	4.69065833333333	"White"	"forehead"
1	3	"CP3"	"White_forehead"	10.7368357843137	"White"	"forehead"
1	3	"CP4"	"White_forehead"	6.51927769607843	"White"	"forehead"
1	4	"CZ"	"White_forehead"	7.00101862745098	"White"	"forehead"
1	4	"CPZ"	"White_forehead"	5.65124975490196	"White"	"forehead"
1	4	"PZ"	"White_forehead"	2.5065931372549	"White"	"forehead"
1	4	"C3"	"White_forehead"	5.27277132352941	"White"	"forehead"
1	4	"C4"	"White_forehead"	8.13685882352941	"White"	"forehead"
1	4	"CP3"	"White_forehead"	2.84475514705882	"White"	"forehead"
1	4	"CP4"	"White_forehead"	7.86904632352941	"White"	"forehead"
1	5	"CZ"	"White_forehead"	3.01671495098039	"White"	"forehead"
1	5	"CPZ"	"White_forehead"	4.13240073529412	"White"	"forehead"
1	5	"PZ"	"White_forehead"	3.51326299019608	"White"	"forehead"
1	5	"C3"	"White_forehead"	1.84754509803922	"White"	"forehead"
1	5	"C4"	"White_forehead"	0.580471323529412	"White"	"forehead"
1	5	"CP3"	"White_forehead"	1.34071789215686	"White"	"forehead"
1	5	"CP4"	"White_forehead"	2.28896838235294	"White"	"forehead"
1	6	"CZ"	"White_forehead"	-3.92300710784314	"White"	"forehead"
1	6	"CPZ"	"White_forehead"	-4.30600784313726	"White"	"forehead"
1	6	"PZ"	"White_forehead"	-3.57003235294118	"White"	"forehead"
1	6	"C3"	"White_forehead"	-1.99688161764706	"White"	"forehead"
1	6	"C4"	"White_forehead"	0.70635612745098	"White"	"forehead"
1	6	"CP3"	"White_forehead"	-1.7521056372549	"White"	"forehead"
1	6	"CP4"	"White_forehead"	-0.571005882352941	"White"	"forehead"
1	7	"CZ"	"White_forehead"	0.806322549019608	"White"	"forehead"
1	7	"CPZ"	"White_forehead"	2.52798504901961	"White"	"forehead"
1	7	"PZ"	"White_forehead"	2.70529362745098	"White"	"forehead"
1	7	"C3"	"White_forehead"	2.28773210784314	"White"	"forehead"
1	7	"C4"	"White_forehead"	0.00740343137254904	"White"	"forehead"
1	7	"CP3"	"White_forehead"	3.3491181372549	"White"	"forehead"
1	7	"CP4"	"White_forehead"	1.24979950980392	"White"	"forehead"
1	8	"CZ"	"White_forehead"	1.4941625	"White"	"forehead"
1	8	"CPZ"	"White_forehead"	1.35017794117647	"White"	"forehead"
1	8	"PZ"	"White_forehead"	0.970878921568627	"White"	"forehead"
1	8	"C3"	"White_forehead"	-0.796862254901961	"White"	"forehead"
1	8	"C4"	"White_forehead"	1.47277107843137	"White"	"forehead"
1	8	"CP3"	"White_forehead"	-2.75301470588235	"White"	"forehead"
1	8	"CP4"	"White_forehead"	0.670562990196078	"White"	"forehead"
1	9	"CZ"	"White_forehead"	4.76017745098039	"White"	"forehead"
1	9	"CPZ"	"White_forehead"	4.59686053921569	"White"	"forehead"
1	9	"PZ"	"White_forehead"	3.8271487745098	"White"	"forehead"
1	9	"C3"	"White_forehead"	2.42102426470588	"White"	"forehead"
1	9	"C4"	"White_forehead"	2.90769828431373	"White"	"forehead"
1	9	"CP3"	"White_forehead"	1.12761666666667	"White"	"forehead"
1	9	"CP4"	"White_forehead"	4.20110465686275	"White"	"forehead"
1	10	"CZ"	"White_forehead"	-4.9230887254902	"White"	"forehead"
1	10	"CPZ"	"White_forehead"	-3.07718651960784	"White"	"forehead"
1	10	"PZ"	"White_forehead"	0.717874754901961	"White"	"forehead"
1	10	"C3"	"White_forehead"	-2.06640588235294	"White"	"forehead"
1	10	"C4"	"White_forehead"	-5.35874779411765	"White"	"forehead"
1	10	"CP3"	"White_forehead"	-6.56206446078431	"White"	"forehead"
1	10	"CP4"	"White_forehead"	-3.75557083333333	"White"	"forehead"
1	11	"CZ"	"White_forehead"	-5.0436262254902	"White"	"forehead"
1	11	"CPZ"	"White_forehead"	-2.63412181372549	"White"	"forehead"
1	11	"PZ"	"White_forehead"	-2.31447426470588	"White"	"forehead"
1	11	"C3"	"White_forehead"	-1.91089975490196	"White"	"forehead"
1	11	"C4"	"White_forehead"	-3.05908480392157	"White"	"forehead"
1	11	"CP3"	"White_forehead"	4.15749779411765	"White"	"forehead"
1	11	"CP4"	"White_forehead"	-2.41485196078431	"White"	"forehead"
1	12	"CZ"	"White_forehead"	3.91025196078431	"White"	"forehead"
1	12	"CPZ"	"White_forehead"	5.4311568627451	"White"	"forehead"
1	12	"PZ"	"White_forehead"	6.40367818627451	"White"	"forehead"
1	12	"C3"	"White_forehead"	5.4430887254902	"White"	"forehead"
1	12	"C4"	"White_forehead"	2.70817524509804	"White"	"forehead"
1	12	"CP3"	"White_forehead"	8.02249240196078	"White"	"forehead"
1	12	"CP4"	"White_forehead"	4.36278112745098	"White"	"forehead"
1	13	"CZ"	"White_forehead"	2.80814264705882	"White"	"forehead"
1	13	"CPZ"	"White_forehead"	2.38646715686275	"White"	"forehead"
1	13	"PZ"	"White_forehead"	4.03366764705882	"White"	"forehead"
1	13	"C3"	"White_forehead"	5.83843137254902	"White"	"forehead"
1	13	"C4"	"White_forehead"	0.906698284313725	"White"	"forehead"
1	13	"CP3"	"White_forehead"	6.78586102941176	"White"	"forehead"
1	13	"CP4"	"White_forehead"	3.98018676470588	"White"	"forehead"
1	14	"CZ"	"White_forehead"	5.57267450980392	"White"	"forehead"
