"Race"	"Fix"	"rescaleTrial"	"MeanAmp"	"plo"	"phi"	"Condition"
"White"	"eyes"	205	21.8549175740035	16.3516592653047	27.3581758827022	"White, eyes"
"Black"	"forehead"	205	21.6699510817016	16.1408248976441	27.199077265759	"Black, forehead"
"White"	"forehead"	205	21.3046756843735	15.7856437860735	26.8237075826736	"White, forehead"
"Black"	"eyes"	206	36.2555859512693	30.6697656186069	41.8414062839316	"Black, eyes"
"White"	"eyes"	206	21.959455663513	16.4290717218122	27.4898396052138	"White, eyes"
"Black"	"forehead"	206	21.7715501450822	16.2151263452565	27.3279739449079	"Black, forehead"
"White"	"forehead"	206	21.4076177033082	15.8613699527965	26.95386545382	"White, forehead"
"Black"	"eyes"	207	36.4272743676473	30.8140964970312	42.0404522382634	"Black, eyes"
"White"	"eyes"	207	22.0639937530225	16.5064823141583	27.6215051918867	"White, eyes"
"Black"	"forehead"	207	21.8731492084628	16.2894261447284	27.4568722721972	"Black, forehead"
"White"	"forehead"	207	21.5105597222429	15.9370943433043	27.0840251011816	"White, forehead"
"Black"	"eyes"	208	36.5989627840253	30.9584253285268	42.2395002395238	"Black, eyes"
"White"	"eyes"	208	22.1685318425321	16.5838910695086	27.7531726155555	"White, eyes"
"Black"	"forehead"	208	21.9747482718434	16.3637243201159	27.5857722235709	"Black, forehead"
"White"	"forehead"	208	21.6135017411777	16.0128169834924	27.2141864988629	"White, forehead"
"Black"	"eyes"	209	36.7706512004033	31.102752142736	42.4385502580707	"Black, eyes"
"White"	"eyes"	209	22.2730699320416	16.6612980145052	27.884841849578	"White, eyes"
"Black"	"forehead"	209	22.076347335224	16.4380208950106	27.7146737754374	"Black, forehead"
"White"	"forehead"	209	21.7164437601124	16.0885378987572	27.3443496214675	"White, forehead"
"Black"	"eyes"	210	36.9423396167814	31.2470769687334	42.6376022648293	"Black, eyes"
"White"	"eyes"	210	22.3776080215511	16.7387031752792	28.016512867823	"White, eyes"
"Black"	"forehead"	210	22.1779463986046	16.5123158925505	27.8435769046587	"Black, forehead"
"White"	"forehead"	210	21.8193857790471	16.1642571140076	27.4745144440866	"White, forehead"
