"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"
"Sub13_Black_fore.avg"	1	"TP7"	"N170"	180	-2.654516	13	"Black"	"fore"	"left"
"Sub13_Black_fore.avg"	1	"TP8"	"N170"	144	-1.286354	13	"Black"	"fore"	"right"
"Sub13_Black_fore.avg"	1	"P7/T5"	"N170"	160	-2.643233	13	"Black"	"fore"	"left"
"Sub13_White_eyes.avg"	1	"P8/T6"	"N170"	148	-4.255582	13	"White"	"eyes"	"right"
"Sub13_White_eyes.avg"	1	"TP7"	"N170"	176	-4.000098	13	"White"	"eyes"	"left"
"Sub13_White_eyes.avg"	1	"TP8"	"N170"	181	-2.695945	13	"White"	"eyes"	"right"
"Sub13_White_eyes.avg"	1	"P7/T5"	"N170"	160	-4.839332	13	"White"	"eyes"	"left"
"Sub13_White_fore.avg"	1	"P8/T6"	"N170"	147	-4.193273	13	"White"	"fore"	"right"
"Sub13_White_fore.avg"	1	"TP7"	"N170"	175	-3.598575	13	"White"	"fore"	"left"
"Sub13_White_fore.avg"	1	"TP8"	"N170"	174	-3.079118	13	"White"	"fore"	"right"
"Sub13_White_fore.avg"	1	"P7/T5"	"N170"	161	-3.725907	13	"White"	"fore"	"left"
"Sub14_Black_eyes.avg"	1	"P8/T6"	"N170"	151	-3.47971	14	"Black"	"eyes"	"right"
"Sub14_Black_eyes.avg"	1	"TP7"	"N170"	185	0.613884	14	"Black"	"eyes"	"left"
"Sub14_Black_eyes.avg"	1	"TP8"	"N170"	152	-3.235711	14	"Black"	"eyes"	"right"
"Sub14_Black_eyes.avg"	1	"P7/T5"	"N170"	180	3.300985	14	"Black"	"eyes"	"left"
"Sub14_Black_fore.avg"	1	"P8/T6"	"N170"	153	-1.430935	14	"Black"	"fore"	"right"
"Sub14_Black_fore.avg"	1	"TP7"	"N170"	188	1.230876	14	"Black"	"fore"	"left"
"Sub14_Black_fore.avg"	1	"TP8"	"N170"	156	-1.478407	14	"Black"	"fore"	"right"
"Sub14_Black_fore.avg"	1	"P7/T5"	"N170"	187	3.935072	14	"Black"	"fore"	"left"
"Sub14_White_eyes.avg"	1	"P8/T6"	"N170"	151	-0.079927	14	"White"	"eyes"	"right"
"Sub14_White_eyes.avg"	1	"TP7"	"N170"	199	1.624116	14	"White"	"eyes"	"left"
"Sub14_White_eyes.avg"	1	"TP8"	"N170"	153	-1.321992	14	"White"	"eyes"	"right"
"Sub14_White_eyes.avg"	1	"P7/T5"	"N170"	131	4.56543	14	"White"	"eyes"	"left"
"Sub14_White_fore.avg"	1	"P8/T6"	"N170"	151	-2.671296	14	"White"	"fore"	"right"
"Sub14_White_fore.avg"	1	"TP7"	"N170"	189	0.153596	14	"White"	"fore"	"left"
"Sub14_White_fore.avg"	1	"TP8"	"N170"	153	-3.551699	14	"White"	"fore"	"right"
"Sub14_White_fore.avg"	1	"P7/T5"	"N170"	186	3.713212	14	"White"	"fore"	"left"
"Sub15_Black_eyes.avg"	1	"P8/T6"	"N170"	171	-3.466399	15	"Black"	"eyes"	"right"
"Sub15_Black_eyes.avg"	1	"TP7"	"N170"	130	-0.802745	15	"Black"	"eyes"	"left"
"Sub15_Black_eyes.avg"	1	"TP8"	"N170"	183	-4.431517	15	"Black"	"eyes"	"right"
"Sub15_Black_eyes.avg"	1	"P7/T5"	"N170"	167	-0.939577	15	"Black"	"eyes"	"left"
"Sub15_Black_fore.avg"	1	"P8/T6"	"N170"	181	-5.770642	15	"Black"	"fore"	"right"
"Sub15_Black_fore.avg"	1	"TP7"	"N170"	178	-1.454063	15	"Black"	"fore"	"left"
"Sub15_Black_fore.avg"	1	"TP8"	"N170"	183	-6.589807	15	"Black"	"fore"	"right"
"Sub15_Black_fore.avg"	1	"P7/T5"	"N170"	177	-2.098083	15	"Black"	"fore"	"left"
"Sub15_White_eyes.avg"	1	"P8/T6"	"N170"	173	-3.472634	15	"White"	"eyes"	"right"
"Sub15_White_eyes.avg"	1	"TP7"	"N170"	173	-0.671387	15	"White"	"eyes"	"left"
"Sub15_White_eyes.avg"	1	"TP8"	"N170"	173	-3.857214	15	"White"	"eyes"	"right"
"Sub15_White_eyes.avg"	1	"P7/T5"	"N170"	173	-1.927792	15	"White"	"eyes"	"left"
"Sub15_White_fore.avg"	1	"P8/T6"	"N170"	181	-5.093045	15	"White"	"fore"	"right"
"Sub15_White_fore.avg"	1	"TP7"	"N170"	179	-1.332601	15	"White"	"fore"	"left"
"Sub15_White_fore.avg"	1	"TP8"	"N170"	189	-5.594889	15	"White"	"fore"	"right"
"Sub15_White_fore.avg"	1	"P7/T5"	"N170"	175	-2.602471	15	"White"	"fore"	"left"
"Sub16_Black_eyes.avg"	1	"P8/T6"	"N170"	158	-2.737079	16	"Black"	"eyes"	"right"
"Sub16_Black_eyes.avg"	1	"TP7"	"N170"	183	-1.576875	16	"Black"	"eyes"	"left"
"Sub16_Black_eyes.avg"	1	"TP8"	"N170"	148	-0.861318	16	"Black"	"eyes"	"right"
"Sub16_Black_eyes.avg"	1	"P7/T5"	"N170"	161	-2.24679	16	"Black"	"eyes"	"left"
"Sub16_Black_fore.avg"	1	"P8/T6"	"N170"	174	-5.156542	16	"Black"	"fore"	"right"
"Sub16_Black_fore.avg"	1	"TP7"	"N170"	183	-2.062325	16	"Black"	"fore"	"left"
"Sub16_Black_fore.avg"	1	"TP8"	"N170"	179	-3.440127	16	"Black"	"fore"	"right"
"Sub16_Black_fore.avg"	1	"P7/T5"	"N170"	180	-2.256443	16	"Black"	"fore"	"left"
"Sub16_White_eyes.avg"	1	"P8/T6"	"N170"	164	-5.719589	16	"White"	"eyes"	"right"
"Sub16_White_eyes.avg"	1	"TP7"	"N170"	175	-3.567453	16	"White"	"eyes"	"left"
"Sub16_White_eyes.avg"	1	"TP8"	"N170"	166	-3.368313	16	"White"	"eyes"	"right"
"Sub16_White_eyes.avg"	1	"P7/T5"	"N170"	173	-4.563154	16	"White"	"eyes"	"left"
