"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"VEOG"	-0.848296	"Black_eyes"	56	"Black"	"eyes"
"HEOG"	-0.807004	"Black_eyes"	56	"Black"	"eyes"
"Nose"	1.518658	"Black_eyes"	56	"Black"	"eyes"
"FZ"	-0.454474	"Black_fore"	56	"Black"	"fore"
"FC3"	-0.848255	"Black_fore"	56	"Black"	"fore"
"FCZ"	-1.011519	"Black_fore"	56	"Black"	"fore"
"FC4"	-0.512321	"Black_fore"	56	"Black"	"fore"
"C3"	-1.205804	"Black_fore"	56	"Black"	"fore"
"CZ"	-1.501984	"Black_fore"	56	"Black"	"fore"
"C4"	-1.490888	"Black_fore"	56	"Black"	"fore"
"CP3"	-1.841151	"Black_fore"	56	"Black"	"fore"
"CPZ"	-2.449722	"Black_fore"	56	"Black"	"fore"
"CP4"	-2.15634	"Black_fore"	56	"Black"	"fore"
"P3"	-2.140998	"Black_fore"	56	"Black"	"fore"
"PZ"	-2.649025	"Black_fore"	56	"Black"	"fore"
"P4"	-2.658047	"Black_fore"	56	"Black"	"fore"
"Oz"	-0.315913	"Black_fore"	56	"Black"	"fore"
"FP1"	0.940501	"Black_fore"	56	"Black"	"fore"
"FP2"	1.437142	"Black_fore"	56	"Black"	"fore"
"A2"	0.642874	"Black_fore"	56	"Black"	"fore"
"P8/T6"	-4.271478	"Black_fore"	56	"Black"	"fore"
"TP7"	-0.355281	"Black_fore"	56	"Black"	"fore"
"TP8"	-1.441532	"Black_fore"	56	"Black"	"fore"
"P7/T5"	-1.976191	"Black_fore"	56	"Black"	"fore"
"VEOG"	0.095189	"Black_fore"	56	"Black"	"fore"
"HEOG"	1.170778	"Black_fore"	56	"Black"	"fore"
"Nose"	-0.030877	"Black_fore"	56	"Black"	"fore"
"FZ"	0.698073	"White_eyes"	56	"White"	"eyes"
"FC3"	0.993941	"White_eyes"	56	"White"	"eyes"
"FCZ"	0.663249	"White_eyes"	56	"White"	"eyes"
"FC4"	-0.173029	"White_eyes"	56	"White"	"eyes"
"C3"	0.97903	"White_eyes"	56	"White"	"eyes"
"CZ"	1.05768	"White_eyes"	56	"White"	"eyes"
"C4"	-0.014775	"White_eyes"	56	"White"	"eyes"
"CP3"	0.686026	"White_eyes"	56	"White"	"eyes"
"CPZ"	1.217161	"White_eyes"	56	"White"	"eyes"
"CP4"	-0.059783	"White_eyes"	56	"White"	"eyes"
"P3"	0.420526	"White_eyes"	56	"White"	"eyes"
"PZ"	0.670387	"White_eyes"	56	"White"	"eyes"
"P4"	-0.870739	"White_eyes"	56	"White"	"eyes"
"Oz"	-0.58119	"White_eyes"	56	"White"	"eyes"
"FP1"	1.726611	"White_eyes"	56	"White"	"eyes"
"FP2"	0.791498	"White_eyes"	56	"White"	"eyes"
"A2"	1.145876	"White_eyes"	56	"White"	"eyes"
"P8/T6"	-3.580244	"White_eyes"	56	"White"	"eyes"
"TP7"	0.241996	"White_eyes"	56	"White"	"eyes"
"TP8"	-2.045893	"White_eyes"	56	"White"	"eyes"
"P7/T5"	-0.55564	"White_eyes"	56	"White"	"eyes"
"VEOG"	1.547126	"White_eyes"	56	"White"	"eyes"
"HEOG"	-1.018537	"White_eyes"	56	"White"	"eyes"
"Nose"	1.090958	"White_eyes"	56	"White"	"eyes"
"FZ"	1.844564	"White_fore"	56	"White"	"fore"
"FC3"	1.476814	"White_fore"	56	"White"	"fore"
"FCZ"	1.812791	"White_fore"	56	"White"	"fore"
"FC4"	1.380362	"White_fore"	56	"White"	"fore"
"C3"	1.150672	"White_fore"	56	"White"	"fore"
"CZ"	1.501637	"White_fore"	56	"White"	"fore"
"C4"	0.878429	"White_fore"	56	"White"	"fore"
"CP3"	0.53205	"White_fore"	56	"White"	"fore"
"CPZ"	0.551483	"White_fore"	56	"White"	"fore"
"CP4"	0.168036	"White_fore"	56	"White"	"fore"
"P3"	-0.065011	"White_fore"	56	"White"	"fore"
"PZ"	0.103876	"White_fore"	56	"White"	"fore"
"P4"	-0.41035	"White_fore"	56	"White"	"fore"
"Oz"	0.101701	"White_fore"	56	"White"	"fore"
"FP1"	1.594449	"White_fore"	56	"White"	"fore"
"FP2"	1.938747	"White_fore"	56	"White"	"fore"
"A2"	-0.182315	"White_fore"	56	"White"	"fore"
"P8/T6"	-3.017694	"White_fore"	56	"White"	"fore"
"TP7"	-0.041182	"White_fore"	56	"White"	"fore"
"TP8"	-0.785381	"White_fore"	56	"White"	"fore"
"P7/T5"	-1.687876	"White_fore"	56	"White"	"fore"
"VEOG"	1.122161	"White_fore"	56	"White"	"fore"
"HEOG"	-0.421886	"White_fore"	56	"White"	"fore"
"Nose"	1.80726	"White_fore"	56	"White"	"fore"
"FZ"	7.367335	"Black_eyes"	57	"Black"	"eyes"
"FC3"	6.906881	"Black_eyes"	57	"Black"	"eyes"
"FCZ"	7.658332	"Black_eyes"	57	"Black"	"eyes"
"FC4"	6.847084	"Black_eyes"	57	"Black"	"eyes"
"C3"	6.239521	"Black_eyes"	57	"Black"	"eyes"
"CZ"	6.543269	"Black_eyes"	57	"Black"	"eyes"
"C4"	5.928525	"Black_eyes"	57	"Black"	"eyes"
"CP3"	4.874198	"Black_eyes"	57	"Black"	"eyes"
"CPZ"	5.883493	"Black_eyes"	57	"Black"	"eyes"
"CP4"	5.06305	"Black_eyes"	57	"Black"	"eyes"
"P3"	3.889869	"Black_eyes"	57	"Black"	"eyes"
"PZ"	4.760779	"Black_eyes"	57	"Black"	"eyes"
"P4"	4.45589	"Black_eyes"	57	"Black"	"eyes"
"Oz"	-0.745277	"Black_eyes"	57	"Black"	"eyes"
"FP1"	5.966376	"Black_eyes"	57	"Black"	"eyes"
"FP2"	5.690009	"Black_eyes"	57	"Black"	"eyes"
"A2"	1.470689	"Black_eyes"	57	"Black"	"eyes"
"P8/T6"	0.437838	"Black_eyes"	57	"Black"	"eyes"
