"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.2218	-0.2098	-0.1828	-0.003	-1.0371	-1.0341	-0.4016	-1.4956	-1.8014	-1.3158	-1.2798	-1.7054	-1.6365	0.051	-0.033	0.6084	-0.1139	-0.9321	-0.4556	-0.6324	-0.1139	-0.4826	0.4286
0.2158	-0.2008	-0.2038	-0.015	-0.9741	-0.9711	-0.3777	-1.3817	-1.6455	-1.1959	-1.1539	-1.5256	-1.4896	0.1109	-0.033	0.6024	-0.2278	-0.8033	-0.3447	-0.5155	-0.009	-0.3237	0.4616
0.1888	-0.1978	-0.2098	0.039	-0.9052	-0.9202	-0.2937	-1.2768	-1.4777	-1.073	-0.9801	-1.3068	-1.3038	0.1858	-0.009	0.5935	-0.3657	-0.6384	-0.2278	-0.3747	0.1259	-0.1768	0.4856
0.1529	-0.1918	-0.2428	0.033	-0.8602	-0.8692	-0.2578	-1.1719	-1.3188	-0.9501	-0.8242	-1.106	-1.1719	0.2458	0.009	0.6024	-0.4916	-0.5005	-0.1439	-0.2368	0.2188	-0.033	0.5425
0.0899	-0.2128	-0.2787	0.03	-0.8302	-0.8482	-0.2218	-1.088	-1.1869	-0.8332	-0.6984	-0.9471	-1.0311	0.3087	0	0.6054	-0.6114	-0.3777	-0.0719	-0.1169	0.2668	0.0959	0.5905
0.0629	-0.2278	-0.3237	0.012	-0.7973	-0.8302	-0.1828	-0.9711	-1.043	-0.6954	-0.5545	-0.7853	-0.8872	0.3717	-0.003	0.6114	-0.7433	-0.2668	-0.024	-0.024	0.3207	0.2098	0.6564
0.006	-0.2728	-0.3717	0.006	-0.7733	-0.7943	-0.1948	-0.8842	-0.9441	-0.6024	-0.4556	-0.6504	-0.7553	0.3956	-0.006	0.5905	-0.8153	-0.1619	0.015	0.0599	0.3627	0.3297	0.7133
-0.0809	-0.3327	-0.4286	-0.039	-0.7793	-0.7853	-0.1678	-0.8063	-0.8212	-0.5065	-0.3417	-0.4856	-0.6264	0.4496	-0.048	0.5785	-0.8992	-0.0659	0.021	0.1379	0.4016	0.4346	0.7823
-0.1349	-0.3687	-0.4766	-0.0629	-0.7613	-0.7433	-0.1409	-0.7283	-0.6804	-0.3836	-0.1948	-0.3327	-0.4975	0.4826	-0.027	0.5725	-0.9471	0.024	0.045	0.2248	0.4586	0.5035	0.8242
-0.1349	-0.3836	-0.5125	-0.0569	-0.7223	-0.7163	-0.1079	-0.6054	-0.5365	-0.2638	-0.0779	-0.1828	-0.3477	0.4916	-0.042	0.5245	-0.9681	0.1349	0.0959	0.3117	0.5185	0.5905	0.8692
-0.1678	-0.4076	-0.5005	-0.039	-0.6564	-0.6564	-0.054	-0.4975	-0.3807	-0.1559	0.0659	-0.024	-0.2218	0.4886	-0.051	0.4916	-0.9741	0.2278	0.1169	0.3717	0.5905	0.6234	0.9351
-0.1858	-0.4136	-0.5275	-0.0659	-0.6174	-0.6144	0	-0.3896	-0.2488	-0.033	0.1918	0.1229	-0.0779	0.4556	-0.0839	0.3896	-0.9351	0.3177	0.1229	0.4196	0.6294	0.6504	0.9621
-0.2218	-0.4226	-0.5275	-0.027	-0.5425	-0.5575	0.045	-0.2668	-0.0929	0.1049	0.3357	0.2638	0.0779	0.4256	-0.1319	0.2787	-0.8752	0.4106	0.1678	0.4706	0.6924	0.6474	0.9801
-0.2008	-0.3956	-0.4975	-0.015	-0.4466	-0.4856	0.1199	-0.1439	0.0899	0.2248	0.4616	0.4316	0.2308	0.3896	-0.1619	0.1738	-0.8123	0.4676	0.2098	0.4856	0.7613	0.6204	1.0041
-0.1648	-0.3657	-0.4496	0.054	-0.3567	-0.3956	0.2008	0.003	0.2937	0.3836	0.6144	0.6114	0.4046	0.3567	-0.2038	0.024	-0.7403	0.5455	0.2428	0.5485	0.8332	0.5515	1.0161
-0.1708	-0.3477	-0.3896	0.0929	-0.2398	-0.2877	0.2518	0.1259	0.4676	0.5035	0.7433	0.7703	0.5215	0.2907	-0.2877	-0.1828	-0.6204	0.5995	0.2248	0.5695	0.8572	0.4856	1.0281
-0.1439	-0.3147	-0.3807	0.1199	-0.1499	-0.2218	0.3267	0.2458	0.6054	0.6204	0.8752	0.9112	0.6864	0.2398	-0.3866	-0.3926	-0.5095	0.6324	0.2608	0.5725	0.9052	0.3986	1.0191
-0.1199	-0.2787	-0.3177	0.1648	-0.0569	-0.1529	0.3747	0.3807	0.7793	0.6984	1.0011	1.0371	0.7823	0.1828	-0.4616	-0.6054	-0.3807	0.6594	0.2398	0.5365	0.9112	0.2997	1.0101
-0.0989	-0.2248	-0.2488	0.2068	0.036	-0.0659	0.4316	0.5215	0.9471	0.8153	1.085	1.1929	0.9082	0.1199	-0.5785	-0.8153	-0.2578	0.6804	0.2338	0.4945	0.9381	0.1708	1.0251
-0.0719	-0.1499	-0.1678	0.2638	0.1798	0.0719	0.4826	0.6534	1.103	0.8992	1.2109	1.3428	1.0371	0.0659	-0.6894	-1.0011	-0.1798	0.6954	0.2188	0.4526	0.9501	0.042	1.0101
-0.03	-0.0869	-0.0869	0.3057	0.3267	0.1948	0.5545	0.8063	1.2978	1.0041	1.3578	1.4986	1.1689	0.054	-0.7583	-1.148	-0.1289	0.7313	0.2428	0.4376	0.9741	-0.0779	1.0041
0.0569	0.045	0.048	0.3807	0.4706	0.3537	0.6084	0.9621	1.4896	1.1	1.4956	1.6605	1.2948	0.036	-0.8212	-1.2469	-0.1109	0.7283	0.2638	0.3896	1.0071	-0.2158	0.9741
0.1589	0.1948	0.1768	0.4406	0.6594	0.4945	0.6894	1.1629	1.7024	1.2139	1.6695	1.8613	1.4417	0.054	-0.8752	-1.3338	-0.1259	0.7583	0.3147	0.3926	1.0311	-0.3297	0.9591
0.2728	0.3507	0.3627	0.4916	0.8842	0.6774	0.7913	1.3638	1.9332	1.3458	1.8403	2.0651	1.6005	0.0749	-0.8962	-1.3308	-0.1708	0.8212	0.3866	0.4016	1.085	-0.4436	0.9351
0.3956	0.5095	0.5305	0.5575	1.109	0.8602	0.8602	1.5706	2.1341	1.4447	1.9902	2.242	1.7294	0.0929	-0.9142	-1.3188	-0.2038	0.8632	0.4646	0.3866	1.133	-0.5455	0.8992
0.5425	0.7104	0.7193	0.6204	1.3128	1.043	0.9262	1.7564	2.3618	1.5316	2.146	2.4158	1.8613	0.1139	-0.9351	-1.2559	-0.2518	0.8872	0.5275	0.3926	1.1689	-0.6174	0.8902
0.6804	0.9052	0.8962	0.6564	1.5226	1.2559	0.9981	1.9572	2.5687	1.6245	2.3109	2.6286	1.9872	0.1469	-0.9142	-1.1599	-0.3087	0.9411	0.5815	0.4136	1.1659	-0.6774	0.9112
0.8212	1.073	1.073	0.6954	1.7354	1.3967	1.055	2.137	2.7605	1.7234	2.4248	2.7905	2.1071	0.1828	-0.9202	-1.0281	-0.3836	0.9681	0.6594	0.4556	1.1569	-0.6894	0.9112
