"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.5822	0.5901	0.6242	0.4747	0.4065	0.5796	0.5848	0.3304	0.5167	0.7763	0.5193	0.4721	0.6058	-0.4039	-0.2334	0.7632	0.7999	0.2334	0.6609	0.1416	0.7212
0.5298	0.5586	0.5822	0.4406	0.4275	0.5534	0.5534	0.3383	0.5088	0.7999	0.5455	0.4721	0.6399	-0.4432	-0.2229	0.737	0.8917	0.2885	0.6845	0.1757	0.7474
0.535	0.5691	0.5298	0.4563	0.4485	0.5429	0.5534	0.3855	0.4957	0.8025	0.5796	0.493	0.674	-0.4799	-0.2019	0.716	0.9494	0.3488	0.6924	0.2151	0.8078
0.5612	0.5875	0.5245	0.4747	0.4773	0.556	0.5822	0.4511	0.5298	0.8471	0.6242	0.5193	0.7422	-0.4852	-0.1023	0.7055	0.9704	0.438	0.7238	0.3068	0.855
0.5403	0.598	0.5455	0.5035	0.5586	0.577	0.6111	0.5035	0.5376	0.8917	0.674	0.5507	0.792	-0.4826	0.0315	0.7133	0.9835	0.5062	0.737	0.3881	0.8812
0.5717	0.632	0.556	0.556	0.6058	0.6268	0.6635	0.5848	0.5639	0.9336	0.7186	0.6084	0.8523	-0.4826	0.2046	0.7684	0.952	0.5665	0.7606	0.4458	0.9153
0.577	0.653	0.5822	0.6084	0.6452	0.653	0.7133	0.6425	0.6084	0.9677	0.7632	0.6347	0.8969	-0.4747	0.3855	0.8209	0.9153	0.6399	0.792	0.514	0.952
0.653	0.7029	0.6478	0.6793	0.7107	0.695	0.7684	0.7081	0.6609	1.0333	0.7894	0.6793	0.9441	-0.438	0.5901	0.8917	0.8523	0.7107	0.813	0.5848	0.9546
0.6871	0.737	0.6976	0.7553	0.7527	0.7501	0.8445	0.7632	0.716	1.0779	0.8235	0.7107	1.0071	-0.3934	0.7842	0.9599	0.7842	0.7684	0.8183	0.6688	0.9599
0.7658	0.771	0.7606	0.8419	0.8156	0.813	0.9179	0.813	0.7606	1.133	0.8655	0.7606	1.0622	-0.3619	0.994	1.0595	0.7081	0.8209	0.8392	0.7422	0.9704
0.8392	0.8051	0.8235	0.931	0.8471	0.8523	0.9992	0.8733	0.8051	1.188	0.8707	0.7894	1.0779	-0.3252	1.1592	1.1592	0.6373	0.855	0.8392	0.8104	0.9389
0.8838	0.8392	0.8943	1.0359	0.8969	0.8917	1.0805	0.9205	0.8445	1.2352	0.8628	0.8104	1.1172	-0.2806	1.3664	1.2195	0.5639	0.8996	0.855	0.8681	0.9258
0.9468	0.8733	0.9599	1.1146	0.9232	0.9389	1.1356	0.9415	0.8969	1.2798	0.8628	0.8156	1.1487	-0.2387	1.5132	1.3061	0.493	0.9074	0.8419	0.9415	0.9048
0.973	0.8759	1.0097	1.1435	0.9232	0.9625	1.2012	0.9599	0.8943	1.2929	0.855	0.8209	1.1172	-0.2124	1.6155	1.3638	0.4275	0.9153	0.8209	0.9782	0.8628
0.9887	0.9048	1.0412	1.2195	0.9441	0.9992	1.2484	0.952	0.9074	1.3008	0.8287	0.8183	1.1435	-0.181	1.6994	1.4267	0.3541	0.9048	0.8051	1.0097	0.8025
1.0595	0.9468	1.0962	1.2641	0.931	0.9966	1.2746	0.9415	0.91	1.3061	0.7973	0.8078	1.1461	-0.1469	1.765	1.4739	0.2806	0.8969	0.7763	1.0464	0.7474
1.0858	0.9494	1.1303	1.2851	0.9232	1.0254	1.3192	0.9048	0.8812	1.2877	0.7474	0.7737	1.0884	-0.1049	1.786	1.4923	0.2072	0.8759	0.7474	1.0333	0.6924
1.07	0.9336	1.133	1.2903	0.8707	1.0149	1.3008	0.8419	0.8392	1.2484	0.6766	0.7029	1.0517	-0.0787	1.7912	1.5028	0.1626	0.8576	0.695	1.0517	0.5665
1.0517	0.9127	1.1277	1.2929	0.8209	0.9704	1.3139	0.7632	0.7973	1.1933	0.5901	0.6557	0.9887	-0.042	1.7362	1.4949	0.0944	0.8051	0.653	1.0517	0.4773
1.0517	0.8655	1.1041	1.2825	0.7265	0.952	1.2877	0.6845	0.7448	1.1592	0.4904	0.5953	0.9415	-0.0236	1.6758	1.5001	0.0236	0.7606	0.6242	1.0412	0.3829
1.0097	0.7999	1.0674	1.2405	0.632	0.8943	1.2615	0.5691	0.6688	1.0805	0.3881	0.5167	0.8707	0.0184	1.6313	1.5054	-0.0446	0.7107	0.5691	1.0097	0.257
0.9441	0.6871	1.0071	1.1723	0.493	0.8078	1.188	0.4301	0.5376	0.9992	0.2728	0.4222	0.7763	0.0446	1.5421	1.4634	-0.0944	0.6294	0.4983	0.973	0.1311
0.8733	0.6137	0.9415	1.1435	0.3567	0.7396	1.1382	0.3147	0.4458	0.8943	0.1416	0.3147	0.6819	0.0682	1.4136	1.4319	-0.1521	0.5612	0.459	0.9074	0.0315
