"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.9872	0.569	1.1323	1.0611	0.074	1.1038	0.7539	-0.6714	0.3243	0.0313	-1.1123	-0.7567	-0.8819	0.0455	0.276	0.0939	-0.091	-0.5035	-0.0313	-0.2845	-0.3641	3.7524	0.3357
1.0185	0.623	1.1664	1.064	0.1309	1.1948	0.7567	-0.623	0.3897	0.0171	-1.081	-0.7397	-0.8762	0.0057	0.1849	0.0284	-0.0142	-0.5149	0	-0.3186	-0.3357	3.9572	0.2987
1.0099	0.6657	1.1778	1.0754	0.1622	1.2432	0.734	-0.5661	0.3983	-0.0455	-1.0554	-0.7055	-0.916	-0.0427	0.074	-0.0711	0.0797	-0.5206	0.0228	-0.3784	-0.3072	4.1734	0.2731
1.0128	0.7197	1.2119	1.0611	0.2247	1.2916	0.7482	-0.532	0.4552	-0.0626	-1.027	-0.7084	-0.9217	-0.0967	-0.0398	-0.1764	0.1821	-0.5235	0.1053	-0.404	-0.2816	4.4038	0.2333
1.0128	0.7624	1.2347	1.0498	0.2816	1.3229	0.7169	-0.4637	0.4979	-0.0825	-0.9644	-0.6629	-0.9303	-0.1366	-0.128	-0.2589	0.2731	-0.5434	0.1821	-0.4523	-0.2532	4.6201	0.1963
0.9872	0.8193	1.229	1.0355	0.3585	1.3655	0.7084	-0.367	0.5291	-0.1252	-0.9047	-0.6173	-0.9331	-0.1878	-0.2418	-0.3243	0.3727	-0.5348	0.2361	-0.4125	-0.2333	4.8363	0.1508
0.9929	0.8705	1.2517	1.0298	0.4552	1.4082	0.6998	-0.2788	0.5661	-0.1678	-0.825	-0.5434	-0.9331	-0.2247	-0.33	-0.3641	0.458	-0.5263	0.3072	-0.4011	-0.1935	5.0354	0.1081
0.9587	0.9132	1.2489	1.0156	0.5377	1.4338	0.6429	-0.1963	0.5804	-0.2105	-0.7425	-0.5263	-0.9331	-0.2788	-0.4438	-0.4182	0.5491	-0.5121	0.3471	-0.3784	-0.1508	5.2374	0.0683
0.9587	0.9587	1.2404	1.0042	0.606	1.4423	0.6486	-0.1081	0.6287	-0.2361	-0.6572	-0.441	-0.9331	-0.3243	-0.5263	-0.4836	0.6259	-0.5007	0.4239	-0.3215	-0.0996	5.4451	0.037
0.9217	1.0213	1.2517	0.9843	0.7368	1.485	0.6088	0.0057	0.7055	-0.2532	-0.532	-0.3556	-0.8876	-0.3499	-0.6003	-0.5007	0.6941	-0.4865	0.4865	-0.2646	-0.0256	5.6243	-0.0142
0.899	1.0441	1.246	0.9473	0.7994	1.4679	0.5832	0.1081	0.7368	-0.276	-0.4381	-0.2731	-0.8762	-0.3897	-0.6372	-0.5519	0.771	-0.458	0.5434	-0.2048	0	5.7665	-0.0512
0.9018	1.0953	1.2432	0.936	0.8591	1.4992	0.5405	0.2333	0.771	-0.3243	-0.2987	-0.1792	-0.825	-0.4153	-0.6799	-0.5804	0.8335	-0.4381	0.5775	-0.1166	0.0597	5.8889	-0.0882
0.8904	1.1379	1.2119	0.9246	0.9758	1.4822	0.5263	0.3499	0.8051	-0.3528	-0.1508	-0.0569	-0.8079	-0.4353	-0.66	-0.5547	0.8734	-0.421	0.6629	-0.0398	0.1309	5.9799	-0.1252
