"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.1215	-0.7177	-0.654	-0.7669	-1.146	-1.146	-1.0534	-1.0621	-1.6322	-1.6061	-0.4138	-1.7161	-1.7566	-0.0752	0.4572	0.5817	0.1505	-0.6396	-0.5933	-0.6714	0.2113
-0.1592	-0.8074	-0.6974	-0.7466	-1.1894	-1.1778	-1.0505	-1.1199	-1.6466	-1.6003	-0.4457	-1.7392	-1.7392	-0.0492	0.5093	0.6164	0.0926	-0.6077	-0.6714	-0.6511	0.1997
-0.2286	-0.8942	-0.7408	-0.7206	-1.2328	-1.2039	-1.0244	-1.1431	-1.6293	-1.5511	-0.4746	-1.7277	-1.6727	-0.0145	0.5412	0.6106	0.0347	-0.5412	-0.6974	-0.6106	0.1765
-0.2576	-0.981	-0.7582	-0.7061	-1.2936	-1.2241	-1.0071	-1.1662	-1.6322	-1.5106	-0.4891	-1.7306	-1.609	0.0116	0.5209	0.6251	-0.0174	-0.4891	-0.7177	-0.5614	0.1794
-0.2923	-1.0418	-0.7987	-0.6945	-1.3023	-1.2617	-0.9637	-1.201	-1.6235	-1.4701	-0.5469	-1.7421	-1.5396	0.0232	0.4775	0.5961	-0.0347	-0.4601	-0.7871	-0.5383	0.1447
-0.3415	-1.1084	-0.8132	-0.7003	-1.337	-1.2473	-0.9434	-1.1981	-1.6206	-1.4007	-0.5614	-1.7161	-1.4643	0.026	0.4457	0.5817	-0.0723	-0.4051	-0.7958	-0.492	0.1158
-0.382	-1.2068	-0.8566	-0.6801	-1.418	-1.2907	-0.9492	-1.2646	-1.6206	-1.3486	-0.6251	-1.7277	-1.4122	0.0318	0.3994	0.5122	-0.0723	-0.356	-0.8653	-0.4543	0.081
-0.3965	-1.2704	-0.8682	-0.6656	-1.4267	-1.2936	-0.9058	-1.2907	-1.6061	-1.2878	-0.6685	-1.7132	-1.3312	0.0434	0.2923	0.4746	-0.081	-0.2894	-0.8826	-0.4023	0.0434
-0.4572	-1.3399	-0.9	-0.6945	-1.4527	-1.308	-0.8913	-1.3543	-1.6206	-1.2386	-0.7437	-1.7335	-1.2791	0.0203	0.2228	0.4341	-0.0492	-0.246	-0.9318	-0.3994	0
-0.4891	-1.4007	-0.9203	-0.6859	-1.5048	-1.3486	-0.9	-1.3688	-1.6003	-1.1923	-0.8103	-1.7103	-1.1778	0.0029	0.1244	0.3588	-0.0203	-0.2199	-0.9608	-0.382	-0.0492
-0.5441	-1.4614	-0.9463	-0.7003	-1.5077	-1.3572	-0.8855	-1.4412	-1.5974	-1.1199	-0.8566	-1.7074	-1.1257	0.0116	0.0376	0.2952	-0.0087	-0.1794	-0.981	-0.3502	-0.1129
-0.5701	-1.5164	-0.9781	-0.7119	-1.5598	-1.3833	-0.8855	-1.4875	-1.6032	-1.091	-0.9405	-1.7161	-1.0534	-0.0058	-0.0521	0.1997	0.0145	-0.1823	-1.0215	-0.3386	-0.1563
-0.6424	-1.5656	-0.9839	-0.7669	-1.5916	-1.418	-0.8855	-1.5164	-1.6003	-1.0563	-0.9955	-1.7045	-0.9724	-0.0087	-0.1592	0.0608	0.0232	-0.1563	-1.0129	-0.3183	-0.1997
