"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Fix"
6	"WE"	"CPz"	-2.17976754098361	"White"	"eyes"
6	"WF"	"CPz"	-2.89781901639344	"White"	"fore"
7	"BE"	"CPz"	1.60419131147541	"Black"	"eyes"
7	"BF"	"CPz"	3.98558803278689	"Black"	"fore"
7	"WE"	"CPz"	-0.898809508196721	"White"	"eyes"
7	"WF"	"CPz"	3.16188229508197	"White"	"fore"
8	"BE"	"CPz"	-1.28546262295082	"Black"	"eyes"
8	"BF"	"CPz"	1.1805968852459	"Black"	"fore"
8	"WE"	"CPz"	-1.84503524590164	"White"	"eyes"
8	"WF"	"CPz"	-1.2359737704918	"White"	"fore"
9	"BE"	"CPz"	1.75173049180328	"Black"	"eyes"
9	"BF"	"CPz"	1.76408327868852	"Black"	"fore"
9	"WE"	"CPz"	1.34539245901639	"White"	"eyes"
9	"WF"	"CPz"	2.55802475409836	"White"	"fore"
10	"BE"	"CPz"	-0.0108797524590164	"Black"	"eyes"
10	"BF"	"CPz"	3.05150262295082	"Black"	"fore"
10	"WE"	"CPz"	0.0154979885245902	"White"	"eyes"
10	"WF"	"CPz"	1.81374491803279	"White"	"fore"
11	"BE"	"CPz"	-0.847205901639344	"Black"	"eyes"
11	"BF"	"CPz"	1.47937049180328	"Black"	"fore"
11	"WE"	"CPz"	-0.469471524590164	"White"	"eyes"
11	"WF"	"CPz"	0.833166229508197	"White"	"fore"
12	"BE"	"CPz"	-3.08617360655738	"Black"	"eyes"
12	"BF"	"CPz"	0.893418196721312	"Black"	"fore"
12	"WE"	"CPz"	-1.20476147540984	"White"	"eyes"
12	"WF"	"CPz"	-1.26808475409836	"White"	"fore"
13	"BE"	"CPz"	-3.23287409836066	"Black"	"eyes"
13	"BF"	"CPz"	-0.516892196721311	"Black"	"fore"
13	"WE"	"CPz"	-1.5036331147541	"White"	"eyes"
13	"WF"	"CPz"	-0.881006721311475	"White"	"fore"
14	"BE"	"CPz"	-3.45867721311475	"Black"	"eyes"
14	"BF"	"CPz"	-0.284423213114754	"Black"	"fore"
14	"WE"	"CPz"	-0.939010327868852	"White"	"eyes"
14	"WF"	"CPz"	0.114459737704918	"White"	"fore"
15	"BE"	"CPz"	-0.984660655737705	"Black"	"eyes"
15	"BF"	"CPz"	-2.8804031147541	"Black"	"fore"
15	"WE"	"CPz"	-1.69799327868852	"White"	"eyes"
15	"WF"	"CPz"	-2.20261573770492	"White"	"fore"
16	"BE"	"CPz"	-0.927347868852459	"Black"	"eyes"
16	"BF"	"CPz"	-0.755711147540984	"Black"	"fore"
16	"WE"	"CPz"	-1.70700606557377	"White"	"eyes"
16	"WF"	"CPz"	-1.10097606557377	"White"	"fore"
17	"BE"	"CPz"	-0.834212950819672	"Black"	"eyes"
17	"BF"	"CPz"	-5.14076672131148	"Black"	"fore"
17	"WE"	"CPz"	-4.35664819672131	"White"	"eyes"
17	"WF"	"CPz"	-4.09833393442623	"White"	"fore"
18	"BE"	"CPz"	-5.78199508196721	"Black"	"eyes"
18	"BF"	"CPz"	-6.3644131147541	"Black"	"fore"
18	"WE"	"CPz"	-5.28115983606557	"White"	"eyes"
18	"WF"	"CPz"	-3.62898098360656	"White"	"fore"
19	"BE"	"CPz"	1.8668506557377	"Black"	"eyes"
19	"BF"	"CPz"	1.46999803278689	"Black"	"fore"
19	"WE"	"CPz"	1.31420819672131	"White"	"eyes"
19	"WF"	"CPz"	-0.170848245901639	"White"	"fore"
20	"BE"	"CPz"	-3.74551524590164	"Black"	"eyes"
20	"BF"	"CPz"	-1.36672131147541	"Black"	"fore"
20	"WE"	"CPz"	-3.46777147540984	"White"	"eyes"
20	"WF"	"CPz"	-2.93841655737705	"White"	"fore"
21	"BE"	"CPz"	-1.13175360655738	"Black"	"eyes"
21	"BF"	"CPz"	0.418320590163934	"Black"	"fore"
21	"WE"	"CPz"	-1.39143245901639	"White"	"eyes"
21	"WF"	"CPz"	-0.746532950819672	"White"	"fore"
22	"BE"	"CPz"	-3.0626368852459	"Black"	"eyes"
22	"BF"	"CPz"	-0.562708819672131	"Black"	"fore"
22	"WE"	"CPz"	-2.15512655737705	"White"	"eyes"
22	"WF"	"CPz"	-2.50273344262295	"White"	"fore"
23	"BE"	"CPz"	-1.15190442622951	"Black"	"eyes"
23	"BF"	"CPz"	-0.0786311475409836	"Black"	"fore"
23	"WE"	"CPz"	-0.216219442622951	"White"	"eyes"
23	"WF"	"CPz"	-2.19647967213115	"White"	"fore"
24	"BE"	"CPz"	-2.33058360655738	"Black"	"eyes"
24	"BF"	"CPz"	-0.577479918032787	"Black"	"fore"
24	"WE"	"CPz"	-1.79564819672131	"White"	"eyes"
24	"WF"	"CPz"	0.483888163934426	"White"	"fore"
25	"BE"	"CPz"	-0.509774967213115	"Black"	"eyes"
25	"BF"	"CPz"	-0.648744508196721	"Black"	"fore"
25	"WE"	"CPz"	-3.79456344262295	"White"	"eyes"
25	"WF"	"CPz"	-0.628339672131147	"White"	"fore"
26	"BE"	"CPz"	-2.4423768852459	"Black"	"eyes"
26	"BF"	"CPz"	0.466343606557377	"Black"	"fore"
26	"WE"	"CPz"	-2.2281337704918	"White"	"eyes"
26	"WF"	"CPz"	0.0332000475409836	"White"	"fore"
27	"BE"	"CPz"	-1.07033032786885	"Black"	"eyes"
27	"BF"	"CPz"	0.0887505901639344	"Black"	"fore"
27	"WE"	"CPz"	-0.172067475409836	"White"	"eyes"
27	"WF"	"CPz"	1.49588360655738	"White"	"fore"
28	"BE"	"CPz"	-0.516094868852459	"Black"	"eyes"
28	"BF"	"CPz"	-2.88421229508197	"Black"	"fore"
28	"WE"	"CPz"	-2.30980426229508	"White"	"eyes"
28	"WF"	"CPz"	-0.443837557377049	"White"	"fore"
29	"BE"	"CPz"	-2.15595426229508	"Black"	"eyes"
29	"BF"	"CPz"	2.5943262295082	"Black"	"fore"
29	"WE"	"CPz"	-3.38357540983607	"White"	"eyes"
29	"WF"	"CPz"	0.614385819672131	"White"	"fore"
30	"BE"	"CPz"	-2.6761768852459	"Black"	"eyes"
30	"BF"	"CPz"	-1.2407362295082	"Black"	"fore"
30	"WE"	"CPz"	-1.50370344262295	"White"	"eyes"
30	"WF"	"CPz"	-0.787923442622951	"White"	"fore"
31	"BE"	"CPz"	-0.439380163934426	"Black"	"eyes"
31	"BF"	"CPz"	0.478100163934426	"Black"	"fore"
31	"WE"	"CPz"	-0.547261590163934	"White"	"eyes"
31	"WF"	"CPz"	-1.85447868852459	"White"	"fore"
32	"BE"	"CPz"	-0.090035737704918	"Black"	"eyes"
32	"BF"	"CPz"	-1.32814770491803	"Black"	"fore"
32	"WE"	"CPz"	-1.48924245901639	"White"	"eyes"
32	"WF"	"CPz"	-0.320131426229508	"White"	"fore"
33	"BE"	"CPz"	1.98458672131148	"Black"	"eyes"
33	"BF"	"CPz"	1.70534016393443	"Black"	"fore"
33	"WE"	"CPz"	2.32626508196721	"White"	"eyes"
33	"WF"	"CPz"	3.33669409836066	"White"	"fore"
34	"BE"	"CPz"	-0.0588479655737705	"Black"	"eyes"
34	"BF"	"CPz"	-0.389645983606557	"Black"	"fore"
34	"WE"	"CPz"	-3.15446426229508	"White"	"eyes"
34	"WF"	"CPz"	0.413943327868852	"White"	"fore"
35	"BE"	"CPz"	-1.23435409836066	"Black"	"eyes"
35	"BF"	"CPz"	0.142406737704918	"Black"	"fore"
35	"WE"	"CPz"	-1.28987918032787	"White"	"eyes"
35	"WF"	"CPz"	0.0585687245901639	"White"	"fore"
36	"BE"	"CPz"	-1.70812229508197	"Black"	"eyes"
36	"BF"	"CPz"	-1.04370786885246	"Black"	"fore"
36	"WE"	"CPz"	-1.18469868852459	"White"	"eyes"
36	"WF"	"CPz"	-0.0168856081967213	"White"	"fore"
37	"BE"	"CPz"	-5.07394704918033	"Black"	"eyes"
37	"BF"	"CPz"	-1.93335459016393	"Black"	"fore"
37	"WE"	"CPz"	-3.02860131147541	"White"	"eyes"
37	"WF"	"CPz"	-1.82566245901639	"White"	"fore"
38	"BE"	"CPz"	1.00579016393443	"Black"	"eyes"
38	"BF"	"CPz"	2.24636	"Black"	"fore"
38	"WE"	"CPz"	4.05047852459016	"White"	"eyes"
38	"WF"	"CPz"	1.5861306557377	"White"	"fore"
39	"BE"	"CPz"	-0.672575704918033	"Black"	"eyes"
39	"BF"	"CPz"	2.36745442622951	"Black"	"fore"
39	"WE"	"CPz"	0.965513934426229	"White"	"eyes"
39	"WF"	"CPz"	2.21056229508197	"White"	"fore"
40	"BE"	"CPz"	-3.3392937704918	"Black"	"eyes"
40	"BF"	"CPz"	-3.27854852459016	"Black"	"fore"
40	"WE"	"CPz"	-4.88701	"White"	"eyes"
40	"WF"	"CPz"	-4.42215016393443	"White"	"fore"
41	"BE"	"CPz"	-0.661928475409836	"Black"	"eyes"
41	"BF"	"CPz"	1.39632180327869	"Black"	"fore"
41	"WE"	"CPz"	-0.454973426229508	"White"	"eyes"
41	"WF"	"CPz"	0.0149983983606557	"White"	"fore"
42	"BE"	"CPz"	-1.05707590163934	"Black"	"eyes"
42	"BF"	"CPz"	-0.412804524590164	"Black"	"fore"
42	"WE"	"CPz"	-1.29658836065574	"White"	"eyes"
42	"WF"	"CPz"	-1.00245295081967	"White"	"fore"
43	"BE"	"CPz"	-1.65240278688525	"Black"	"eyes"
43	"BF"	"CPz"	-0.959899344262295	"Black"	"fore"
43	"WE"	"CPz"	-0.988857049180328	"White"	"eyes"
43	"WF"	"CPz"	-2.02945180327869	"White"	"fore"
44	"BE"	"CPz"	-0.0378617295081967	"Black"	"eyes"
44	"BF"	"CPz"	1.73909868852459	"Black"	"fore"
